Lap number,Time (s),Distance (m),Lap distance (m),CdA (m²),Drag (N),Power (W),Left pedal power (W),Right pedal power (W),Cadence (RPM),Total weight (g),Weight on left pedal (g),Weight on right pedal (g),Weight on handlebar (g),Weight on saddle (g),Left pedal drag force (N),Right pedal drag force (N),Handlebar drag force (N),Saddle drag force (N),Handlebar roll moment (Nm),Saddle roll moment (Nm),Handlebar pitch moment (Nm),Saddle pitch moment (Nm),Left pedal crank angle (deg),Ground speed (m/s),Air speed (m/s)
1.0,22.6,473.5,251.2,0.223,-16.139,309.528,156.224,153.304,85.545,81875.849,17640.405,17266.955,16790.96,30301.303,-23.271,-25.965,7.218,25.629,-0.007,-0.804,4.597,14.411,181.277,11.112,11.179
2.0,20.8,721.2,247.6,0.204,-17.072,311.761,155.814,155.947,91.626,83573.724,16414.432,16744.492,17554.473,32885.118,-27.616,-29.897,10.545,30.015,-0.213,-1.124,6.083,18.241,179.658,11.896,11.934
3.0,21.0,971.6,250.2,0.183,-15.299,288.252,142.223,146.029,91.67,83588.37,15733.896,15687.955,18271.325,33879.815,-29.687,-29.965,13.444,31.013,-0.524,-1.099,6.996,19.785,180.238,11.922,11.888
4.0,21.2,1222.0,250.4,0.179,-14.677,285.823,142.413,143.41,90.862,83271.82,15621.314,15471.37,18526.743,33646.56,-28.826,-27.875,16.702,25.258,0.202,-1.089,6.399,18.267,180.418,11.813,11.781
5.0,21.0,1471.0,248.8,0.183,-15.078,289.304,142.893,146.411,91.155,83434.483,15435.912,15457.06,18480.054,34035.162,-30.038,-29.004,15.391,28.832,0.131,-1.143,6.305,19.379,180.191,11.821,11.8
6.0,21.0,1719.8,248.7,0.166,-13.704,283.95,140.612,143.338,91.11,83402.219,15244.375,15182.244,18620.715,34358.632,-30.986,-29.393,16.828,29.844,0.217,-1.096,6.039,20.171,179.999,11.848,11.798
7.0,21.0,1969.8,249.9,0.164,-13.542,297.892,147.194,150.698,91.584,83363.127,15426.608,15354.475,18471.868,34147.835,-30.883,-29.548,15.583,31.31,0.382,-1.026,5.623,20.538,180.21,11.907,11.867
8.0,21.0,2220.8,250.8,0.158,-13.312,282.767,140.58,142.187,91.875,83550.055,15193.24,14955.515,19037.275,34312.825,-31.804,-28.815,17.387,29.834,0.495,-1.072,5.571,20.534,180.446,11.949,11.907
9.0,21.2,2470.5,249.6,0.158,-12.759,278.11,137.069,141.041,90.587,83164.161,15125.855,15158.819,19104.487,33807.542,-31.53,-28.539,16.249,31.138,0.427,-0.877,4.575,20.658,179.813,11.781,11.714
10.0,21.0,2719.2,248.6,0.16,-13.095,286.084,141.447,144.637,91.074,83276.991,15121.979,15460.206,19029.973,33640.167,-32.05,-28.572,15.612,31.831,0.756,-1.033,4.872,20.882,179.947,11.846,11.789
11.0,21.2,2968.6,249.3,0.158,-12.793,277.731,137.576,140.155,90.437,83121.72,15177.976,15267.636,19387.193,33272.011,-31.472,-27.912,16.145,30.582,0.482,-0.913,4.651,20.725,180.08,11.762,11.682
