Lap number,Time (s),Distance (m),Lap distance (m),CdA (m²),Drag (N),Power (W),Left pedal power (W),Right pedal power (W),Cadence (RPM),Total weight (g),Weight on left pedal (g),Weight on right pedal (g),Weight on handlebar (g),Weight on saddle (g),Left pedal drag force (N),Right pedal drag force (N),Handlebar drag force (N),Saddle drag force (N),Handlebar roll moment (Nm),Saddle roll moment (Nm),Handlebar pitch moment (Nm),Saddle pitch moment (Nm),Left pedal crank angle (deg),Ground speed (m/s),Air speed (m/s)
1.0,22.8,475.6,250.4,0.211,-15.031,275.399,141.448,133.951,84.496,81751.504,16968.527,16574.153,17318.343,30988.787,-25.321,-24.131,28.034,6.385,-0.957,-1.134,6.554,10.66,180.783,10.886,11.089
2.0,21.6,724.6,248.8,0.19,-14.93,272.05,140.174,131.876,88.614,82837.055,15481.61,15304.678,17516.59,34577.424,-30.32,-31.11,28.864,17.798,-0.126,-1.398,8.794,16.419,179.701,11.524,11.567
3.0,21.4,976.2,251.5,0.189,-15.289,290.729,146.97,143.76,90.406,83189.675,15669.734,15429.899,17788.241,34315.68,-30.194,-31.009,25.186,20.478,0.132,-1.274,7.793,17.917,180.775,11.756,11.746
4.0,20.8,1224.5,248.2,0.176,-14.786,282.347,140.902,141.445,91.787,83644.014,15052.088,14986.027,18029.828,35551.289,-31.984,-32.787,28.785,21.497,-0.057,-1.408,9.729,19.885,179.388,11.939,11.935
5.0,21.0,1473.4,248.7,0.171,-14.212,270.85,133.037,137.813,91.085,83399.062,14916.415,14788.096,18464.053,35222.993,-32.952,-31.892,28.647,22.153,-0.033,-1.421,9.896,20.6,180.502,11.851,11.847
6.0,21.0,1722.8,249.3,0.163,-13.516,279.361,136.325,143.036,91.283,83420.917,15227.239,15301.427,18477.19,34404.689,-33.48,-30.621,26.919,23.467,0.056,-1.298,9.087,20.543,180.583,11.874,11.867
7.0,21.0,1972.8,249.9,0.162,-13.488,276.029,135.016,141.012,91.518,83485.55,15114.327,15229.8,18822.78,34290.695,-33.715,-31.102,26.068,25.52,0.094,-1.244,8.027,20.875,179.675,11.906,11.893
8.0,21.0,2222.7,249.8,0.166,-13.777,276.764,136.913,139.851,91.478,83446.832,15140.701,15267.042,18877.374,34177.666,-34.342,-31.77,27.748,24.493,-0.128,-1.194,7.756,21.338,179.803,11.902,11.897
9.0,21.0,2472.4,249.5,0.163,-13.432,278.604,137.755,140.849,91.375,83358.907,15372.503,15370.467,18988.46,33638.043,-33.949,-30.876,26.934,24.4,0.15,-1.172,7.023,20.859,180.627,11.887,11.859
10.0,20.8,2722.2,249.7,0.161,-13.569,282.857,140.864,141.992,92.343,83614.596,15110.312,15529.349,19138.841,33832.45,-33.964,-31.68,27.264,24.768,0.53,-1.18,7.183,21.365,180.353,12.014,11.987
11.0,20.8,2971.0,248.7,0.159,-13.287,272.233,135.767,136.466,91.929,83444.002,15076.473,15195.02,19561.316,33568.74,-34.949,-31.121,26.565,26.205,1.071,-1.191,6.507,22.099,179.926,11.962,11.905
12.0,32.2,3220.0,248.8,1.552,-38.013,41.562,21.85,19.712,60.099,63573.483,9180.439,8470.584,6003.816,38277.313,-26.02,-14.697,16.0,-11.463,0.637,-0.041,2.165,14.354,183.453,7.755,7.379
