Lap number,Time (s),Distance (m),Lap distance (m),CdA (m²),Drag (N),Power (W),Left pedal power (W),Right pedal power (W),Cadence (RPM),Total weight (g),Weight on left pedal (g),Weight on right pedal (g),Weight on handlebar (g),Weight on saddle (g),Left pedal drag force (N),Right pedal drag force (N),Handlebar drag force (N),Saddle drag force (N),Handlebar roll moment (Nm),Saddle roll moment (Nm),Handlebar pitch moment (Nm),Saddle pitch moment (Nm),Left pedal crank angle (deg),Ground speed (m/s),Air speed (m/s)
1.0,23.4,480.2,249.8,0.19,-12.6,264.312,136.398,127.915,82.24,81557.864,17160.821,17233.094,17570.286,29561.152,-23.499,-23.623,18.916,15.569,-0.776,-0.784,5.288,11.779,180.133,10.673,10.747
2.0,21.8,730.4,250.1,0.187,-14.393,262.765,134.331,128.435,88.368,82971.868,15897.185,16037.779,19104.172,31965.077,-23.779,-22.781,22.978,9.354,-1.21,-0.805,5.272,10.715,179.859,11.474,11.5
3.0,21.2,981.5,251.0,0.177,-14.144,269.85,134.615,135.235,90.453,83558.948,15974.044,15748.908,19258.705,32564.191,-25.049,-23.115,24.777,9.329,-1.526,-0.829,6.024,12.301,180.294,11.925,11.721
4.0,21.4,1231.9,250.3,0.166,-13.214,250.939,125.844,125.095,90.08,83445.115,14869.604,14887.964,19519.092,34178.449,-28.205,-25.403,27.088,13.247,-1.191,-0.986,7.444,15.422,179.51,11.703,11.648
5.0,21.4,1479.9,247.8,0.159,-12.305,250.005,126.135,123.87,89.183,83151.338,15176.103,14773.434,19793.743,33392.875,-26.552,-25.07,24.411,14.951,-0.806,-0.799,6.72,15.655,181.34,11.586,11.526
6.0,21.2,1728.8,248.8,0.161,-12.876,272.903,136.22,136.683,90.393,83385.732,16107.665,15405.248,19312.374,32537.713,-28.269,-24.797,17.138,22.998,-0.588,-0.8,5.498,16.883,179.466,11.74,11.691
7.0,21.0,1990.2,261.3,0.162,-13.512,276.362,139.386,136.976,91.983,83733.025,15587.721,15360.062,19643.865,33159.116,-28.43,-25.85,18.682,22.18,-0.009,-0.76,5.224,17.678,179.803,12.542,11.902
8.0,20.8,2243.4,253.1,0.155,-12.888,273.774,138.507,135.266,92.159,83864.518,15538.912,14950.856,19889.105,33561.629,-29.509,-25.773,18.418,23.963,0.032,-0.79,4.487,18.309,180.832,11.981,11.92
9.0,20.8,2503.3,259.8,0.163,-13.658,272.157,136.673,135.484,92.309,83878.26,15351.92,15135.529,20224.91,33143.976,-29.08,-25.457,20.125,20.681,0.495,-0.742,4.118,17.834,180.253,12.077,11.924
