Lap number,Time (s),Distance (m),Lap distance (m),CdA (m²),Drag (N),Power (W),Left pedal power (W),Right pedal power (W),Cadence (RPM),Total weight (g),Weight on left pedal (g),Weight on right pedal (g),Weight on handlebar (g),Weight on saddle (g),Left pedal drag force (N),Right pedal drag force (N),Handlebar drag force (N),Saddle drag force (N),Handlebar roll moment (Nm),Saddle roll moment (Nm),Handlebar pitch moment (Nm),Saddle pitch moment (Nm),Left pedal crank angle (deg),Ground speed (m/s),Air speed (m/s)
1.0,23.0,484.0,248.7,0.231,-15.847,289.619,148.304,141.315,83.215,81584.646,16980.905,16737.662,17350.243,30453.124,-23.911,-25.702,18.749,15.034,-0.291,-0.796,5.522,13.545,180.231,10.811,10.939
2.0,21.8,737.9,253.9,0.207,-16.059,277.153,142.057,135.096,88.116,82640.092,15664.014,15759.659,18125.911,33095.324,-27.943,-29.655,22.675,19.066,0.082,-1.079,7.156,17.018,179.8,11.453,11.506
3.0,21.4,987.5,249.5,0.194,-15.466,283.367,143.131,140.236,89.624,83035.849,15745.35,15754.121,18439.548,33156.46,-29.802,-30.364,22.863,21.835,-0.267,-1.087,7.008,18.535,180.001,11.659,11.671
4.0,21.2,1242.3,254.6,0.191,-15.654,291.411,145.337,146.074,90.944,83332.144,15899.569,15517.227,18544.504,33335.889,-29.368,-31.191,25.874,19.188,0.123,-0.943,7.316,18.611,180.522,11.819,11.829
5.0,21.0,1492.1,249.8,0.183,-15.182,291.086,145.153,145.933,91.484,83484.538,15592.177,15407.88,18408.02,34091.122,-32.221,-31.65,24.456,24.412,-0.01,-1.077,7.626,20.35,180.337,11.898,11.889
6.0,20.8,1745.5,253.3,0.177,-14.773,289.495,143.47,146.025,91.75,83563.993,15548.381,15658.862,18675.2,33666.188,-33.336,-30.116,21.086,27.459,-0.111,-0.98,7.255,20.823,179.96,11.959,11.91
7.0,21.0,2000.2,254.5,0.168,-13.872,283.715,141.65,142.065,91.268,83443.788,15289.009,15529.451,18907.336,33727.613,-33.238,-29.801,22.729,26.583,0.197,-0.854,6.962,20.817,180.536,12.051,11.844
8.0,21.0,2251.1,250.8,0.16,-13.171,279.417,139.547,139.869,91.093,83416.322,15050.616,15548.781,19075.519,33796.176,-33.296,-29.864,25.366,24.619,0.091,-0.854,6.611,20.638,180.758,11.843,11.816
9.0,21.2,2502.1,250.9,0.16,-13.233,286.782,143.563,143.219,91.019,83347.382,15098.966,15576.789,18608.752,34033.65,-33.362,-31.339,26.927,24.241,0.045,-0.915,7.006,20.831,180.04,11.808,11.829
10.0,21.0,2757.7,255.5,0.162,-13.356,289.763,144.37,145.392,91.288,83415.192,15363.234,15702.433,18828.743,33475.568,-32.846,-29.087,26.254,22.402,0.482,-0.888,6.605,19.83,179.978,11.925,11.832
11.0,20.8,3012.4,254.6,0.157,-13.061,288.128,143.752,144.376,91.812,83502.871,15440.599,15271.779,19317.811,33515.909,-33.282,-28.877,23.711,25.617,0.712,-0.941,6.233,21.045,180.809,11.934,11.895
